group,baseline_chip_max,final_chip_max,best_chip_max,improvement_degC,improvement_pct,valid_runs,invalid_runs,first_feasible_round,first_base_k_round,largest_jump_degC,largest_jump_seen_at_round,strategy_sequence
group_01,89.30130373621631,58.61285725663505,58.61285725663505,30.68844647958126,34.36505985425553,8,7,12,11,30.643380459079836,12,spreader_k -> spreader_k -> spreader_k -> spreader_k -> spreader_k -> spreader_w -> spreader_w+spreader_k -> spreader_k -> spreader_w -> spreader_k -> base_k -> spreader_w -> spreader_w -> spreader_k -> base_k
group_02,89.30130373621631,43.164618910763636,43.164618910763636,46.136684825452676,51.66406636316761,9,6,10,9,30.64339082900294,10,spreader_k -> spreader_k -> spreader_k -> spreader_k -> spreader_k -> spreader_w -> spreader_w -> spreader_k -> base_k -> spreader_k -> spreader_w -> spreader_k -> base_k -> spreader_w -> spreader_w
group_03,89.30130373621631,89.20486690827713,89.20486690827713,0.09643682793918629,0.10799039197014113,9,6,,,0.05137080743776323,13,spreader_k -> spreader_k -> spreader_k -> spreader_k -> spreader_k -> spreader_w -> spreader_k+spreader_w -> spreader_k -> spreader_k -> spreader_k -> spreader_w -> spreader_h -> spreader_k+spreader_w -> spreader_k -> spreader_w+spreader_k
group_04,89.30130373621631,68.84832939290591,68.84832939290591,20.4529743433104,22.903332300417087,9,6,12,11,20.407928171830974,12,spreader_k -> spreader_k -> spreader_k -> spreader_k -> spreader_k -> spreader_w -> spreader_w+spreader_k -> spreader_k -> spreader_k -> spreader_w+spreader_h -> base_k -> spreader_k -> spreader_k -> spreader_w+spreader_h -> spreader_k
group_05,89.30130373621631,58.57789274011505,58.57789274011505,30.723410996101265,34.40421327649814,8,7,15,14,30.584946380258742,15,spreader_k -> spreader_k -> spreader_k -> spreader_k -> spreader_k -> spreader_k -> spreader_w -> spreader_k+spreader_w -> spreader_h -> spreader_k -> spreader_w -> spreader_x -> spreader_w+spreader_h -> base_k -> spreader_w
group_06,89.30130373621631,58.612856424134335,58.612856424134335,30.688447312081976,34.36506078649356,9,6,12,11,30.64339082900294,12,spreader_k -> spreader_k -> spreader_k -> spreader_k -> spreader_k -> spreader_w -> spreader_w+spreader_k -> spreader_k -> spreader_k -> spreader_k+spreader_w -> base_k -> spreader_w -> spreader_w -> spreader_k -> base_k
group_07,89.30130373621631,43.164618910763636,43.164618910763636,46.136684825452676,51.66406636316761,8,7,8,7,30.64291686667147,8,spreader_k -> spreader_k -> spreader_k -> spreader_k -> spreader_k -> spreader_w -> base_k -> spreader_k -> spreader_k -> spreader_w -> spreader_w+spreader_h+spreader_k -> base_k -> spreader_w -> spreader_w -> spreader_k
group_08,89.30130373621631,58.61285725663505,58.61285725663505,30.68844647958126,34.36505985425553,9,6,12,11,30.64328856731308,12,spreader_k -> spreader_k -> spreader_k -> spreader_k -> spreader_k -> spreader_w -> spreader_k+spreader_w+spreader_h -> spreader_k -> spreader_k -> spreader_w -> base_k -> spreader_k -> spreader_w -> spreader_k -> base_k
group_09,89.30130373621631,43.164618910763636,43.164618910763636,46.136684825452676,51.66406636316761,8,7,11,10,30.64339082900294,11,spreader_k -> spreader_k -> spreader_k -> spreader_k -> spreader_k -> spreader_k -> spreader_w -> spreader_k+spreader_w -> spreader_k -> base_k -> spreader_w -> spreader_w -> spreader_k -> base_k -> spreader_w
group_10,89.30130373621631,58.57775063802708,58.57775063802708,30.723553098189235,34.40437240305288,8,7,15,14,30.584908781494555,15,spreader_k -> spreader_k -> spreader_k -> spreader_k -> spreader_k -> spreader_w -> spreader_k+spreader_h -> spreader_w -> spreader_w -> spreader_k -> spreader_h -> spreader_k -> spreader_w -> base_k -> spreader_w
